Feature,Classifier,Accuracy,Normalization
mfccs_16_mean,KNN Cosine,0.04666666666666667,Normalized
mfccs_16_mean,Random Forest,0.1,Normalized
mfccs_16_mean,SVC,0.056666666666666664,Normalized
mfccs_16_mean,XGB,0.07666666666666666,Normalized
mfccs_17_mean,KNN Euclidean,0.05333333333333334,Scaled
mfccs_17_mean,KNN Cosine,0.07,Scaled
mfccs_17_mean,Random Forest,0.056666666666666664,Scaled
mfccs_17_mean,SVC,0.06333333333333334,Scaled
mfccs_17_mean,XGB,0.09333333333333334,Scaled
mfccs_17_mean,KNN Euclidean,0.05333333333333334,Normalized
mfccs_17_mean,KNN Cosine,0.07,Normalized
mfccs_17_mean,Random Forest,0.056666666666666664,Normalized
mfccs_17_mean,SVC,0.04,Normalized
mfccs_17_mean,XGB,0.09333333333333334,Normalized
mfccs_18_mean,KNN Euclidean,0.06333333333333334,Scaled
mfccs_18_mean,KNN Cosine,0.07,Scaled
mfccs_18_mean,Random Forest,0.06333333333333334,Scaled
mfccs_18_mean,SVC,0.06333333333333334,Scaled
mfccs_18_mean,XGB,0.07,Scaled
mfccs_18_mean,KNN Euclidean,0.06333333333333334,Normalized
mfccs_18_mean,KNN Cosine,0.07,Normalized
mfccs_18_mean,Random Forest,0.06333333333333334,Normalized
mfccs_18_mean,SVC,0.06,Normalized
mfccs_18_mean,XGB,0.07,Normalized
mfccs_19_mean,KNN Euclidean,0.06,Scaled
mfccs_19_mean,KNN Cosine,0.056666666666666664,Scaled
mfccs_19_mean,Random Forest,0.07333333333333333,Scaled
mfccs_19_mean,SVC,0.06666666666666667,Scaled
mfccs_19_mean,XGB,0.06,Scaled
mfccs_19_mean,KNN Euclidean,0.06,Normalized
mfccs_19_mean,KNN Cosine,0.056666666666666664,Normalized
mfccs_19_mean,Random Forest,0.07333333333333333,Normalized
mfccs_19_mean,SVC,0.06333333333333334,Normalized
mfccs_19_mean,XGB,0.06,Normalized
mfccs_20_mean,KNN Euclidean,0.09666666666666666,Scaled
mfccs_20_mean,KNN Cosine,0.07666666666666666,Scaled
mfccs_20_mean,Random Forest,0.1,Scaled
mfccs_20_mean,SVC,0.056666666666666664,Scaled
mfccs_20_mean,XGB,0.07333333333333333,Scaled
mfccs_20_mean,KNN Euclidean,0.09666666666666666,Normalized
mfccs_20_mean,KNN Cosine,0.07666666666666666,Normalized
mfccs_20_mean,Random Forest,0.1,Normalized
mfccs_20_mean,SVC,0.06,Normalized
mfccs_20_mean,XGB,0.07333333333333333,Normalized
mfccs_1_var,KNN Euclidean,0.08333333333333333,Scaled
